info: Download starting. {"0":{"rss":59703296,"heapTotal":34959360,"heapUsed":32194120,"external":2038424},"1":[0,64827479],"timestamp":"2020-07-29T11:06:08.834Z"}
info: Response accepted. {"0":"https://www.oakshotels.com/en/oaks-on-castlereagh","1":200,"2":"text/html; charset=utf-8","3":{"rss":61739008,"heapTotal":35934208,"heapUsed":33633280,"external":2224838},"4":[5,927596650],"timestamp":"2020-07-29T11:06:14.695Z"}
info: Response rejected. {"0":"https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/69645404_2686846704667666_3084761995795234816_o.jpg?_nc_cat=102&_nc_oc=AQl5TFpWxRFIFpqEMcglwqt_yuXteg8DRrSqBMxdgtOeO2lteOCQ4HvvbMBOiUhfXww&_nc_ht=scontent.xx&oh=7c5d0e9b1256b6e6da18837d0dc12878&oe=5DFEABD1","1":403,"2":"text/plain","3":{"rss":61771776,"heapTotal":35172352,"heapUsed":29308368,"external":1427828},"4":[7,507027664],"timestamp":"2020-07-29T11:06:16.275Z"}
info: Response accepted. {"0":"https://www.oakshotels.com/uploads/minor/oaks/images/australia/new-south-wales/sydney/castlereagh/be-inspired/oaks-hotels-blogs-image-sydney.jpg","1":200,"2":"image/jpeg","3":{"rss":61771776,"heapTotal":35172352,"heapUsed":29440664,"external":1460992},"4":[8,182596279],"timestamp":"2020-07-29T11:06:16.950Z"}
info: Response accepted. {"0":"https://www.oakshotels.com/uploads/minor/oaks/images/australia/new-south-wales/sydney/castlereagh/1312x533/oaks-castlereagh-sydney-city-hotels-balcony-image.jpg","1":200,"2":"image/jpeg","3":{"rss":62033920,"heapTotal":35516416,"heapUsed":30292296,"external":1805856},"4":[9,86728707],"timestamp":"2020-07-29T11:06:17.854Z"}
info: Response rejected. {"0":"https://scontent.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.135.1080.1080/19623684_242445619594876_4179465802820354048_n.jpg","1":403,"2":"text/plain","3":{"rss":63344640,"heapTotal":38662144,"heapUsed":31538072,"external":1429493},"4":[10,617891687],"timestamp":"2020-07-29T11:06:19.386Z"}
info: Response accepted. {"0":"https://www.oakshotels.com/uploads/minor/oaks/images/australia/new-south-wales/sydney/castlereagh/800x385/new/oaks-on-castlereagh-cafe-800x385.jpg?mw=85","1":200,"2":"image/jpeg","3":{"rss":63344640,"heapTotal":38662144,"heapUsed":31611664,"external":1448604},"4":[10,635396254],"timestamp":"2020-07-29T11:06:19.403Z"}
info: Response accepted. {"0":"https://www.oakshotels.com/uploads/minor/brand-footer-logos/anantara-brand-logo.png?mw=360","1":200,"2":"image/png","3":{"rss":63344640,"heapTotal":38662144,"heapUsed":31650288,"external":1455048},"4":[10,636779969],"timestamp":"2020-07-29T11:06:19.404Z"}
info: Response accepted. {"0":"https://www.oakshotels.com/uploads/minor/brand-footer-logos/minor-logo-new.png?mw=360","1":200,"2":"image/png","3":{"rss":63344640,"heapTotal":38662144,"heapUsed":31688640,"external":1460722},"4":[10,665755583],"timestamp":"2020-07-29T11:06:19.433Z"}
info: Response accepted. {"0":"https://www.oakshotels.com/uploads/minor/oaks/images/homepage/logos/oaks-hotels-resorts-suites-australia.png","1":200,"2":"image/png","3":{"rss":63344640,"heapTotal":38662144,"heapUsed":31778936,"external":1467624},"4":[10,675929938],"timestamp":"2020-07-29T11:06:19.444Z"}
info: Response accepted. {"0":"https://www.oakshotels.com/uploads/minor/oaks/images/australia/new-south-wales/sydney/castlereagh/600x400/2-bedroom-dual-key/jpeg/serviced-apartments-sydney-oaks-on-castlereagh-2-bedroom-dual-key-unit.jpg?mw=720","1":200,"2":"image/jpeg","3":{"rss":63344640,"heapTotal":38662144,"heapUsed":31868560,"external":1497264},"4":[10,680967479],"timestamp":"2020-07-29T11:06:19.449Z"}
info: Response accepted. {"0":"https://www.oakshotels.com/uploads/minor/oaks/images/australia/new-south-wales/sydney/castlereagh/800x385/sydney-city-oaks-on-castlereagh-2-bedroom-apartment-balcony-lifestyle-2.jpg","1":200,"2":"image/jpeg","3":{"rss":63344640,"heapTotal":38662144,"heapUsed":32049144,"external":1552405},"4":[10,688376178],"timestamp":"2020-07-29T11:06:19.456Z"}
